Saved Date,Job Url,Job Title,Company Name
"11/29/24, 6:11 AM",http://www.linkedin.com/jobs/view/4077774996,,
"6/5/23, 1:39 PM",http://www.linkedin.com/jobs/view/3521928599,Technical Product Marketing Manager,Zuora
"7/17/23, 7:46 PM",http://www.linkedin.com/jobs/view/3663673281,,
"7/26/23, 10:26 AM",http://www.linkedin.com/jobs/view/3615140583,"Marketing Manager, Retention Monetization",McAfee
"6/6/23, 6:19 PM",http://www.linkedin.com/jobs/view/3617205890,Senior Marketing Manager,Odeko
"6/5/23, 6:04 AM",http://www.linkedin.com/jobs/view/3625684224,Head of Content Marketing,Torq
"5/30/23, 5:49 AM",http://www.linkedin.com/jobs/view/3604494783,Content Marketing Manager,Jobsity
"9/2/24, 11:55 AM",http://www.linkedin.com/jobs/view/4013762629,Content Marketing Manager,Temporal Technologies
"11/20/24, 3:35 AM",http://www.linkedin.com/jobs/view/4069087239,Content Marketing Manager,Delinian
"7/27/23, 9:12 AM",http://www.linkedin.com/jobs/view/3677016726,Demand Generation Manager,Terraformation
"7/18/23, 11:02 AM",http://www.linkedin.com/jobs/view/3664044895,,
"8/24/24, 2:31 PM",http://www.linkedin.com/jobs/view/4005940571,Technical Content Producer,Vercel
"7/15/23, 8:51 AM",http://www.linkedin.com/jobs/view/3663763328,Marketing Content Manager,GroundTruth
"6/14/23, 2:03 PM",http://www.linkedin.com/jobs/view/3635007289,"Editor-in-Chief, Senior Content Director (Remote)",Guild
"6/16/23, 12:52 PM",http://www.linkedin.com/jobs/view/3638500874,Content Marketing Manager,Measured
"6/7/23, 6:34 PM",http://www.linkedin.com/jobs/view/3630749697,Content Marketing Manager (Remote),Splunk
"5/30/23, 5:49 AM",http://www.linkedin.com/jobs/view/3616346195,Content Marketing Manager,ScaleNorth | NetSuite Solution Provider & Outsourced NetSuite Accounting
"10/31/24, 12:00 PM",http://www.linkedin.com/jobs/view/4036665399,Product Marketing Manager (Remote),Accuris
"6/20/23, 7:11 AM",http://www.linkedin.com/jobs/view/3635372047,Sr. Content Strategist,Safelite
"7/20/15, 9:45 AM",http://www.linkedin.com/jobs/view/62360704,Content writer,"SaltWorks®, Inc."
"6/14/23, 4:59 PM",http://www.linkedin.com/jobs/view/3630903890,Product Marketing Lead,Mudflap
"7/20/15, 7:35 AM",http://www.linkedin.com/jobs/view/62933833,Technical Writer,Acro Service Corp
"6/20/23, 7:52 AM",http://www.linkedin.com/jobs/view/3580669272,,
"6/15/23, 10:49 AM",http://www.linkedin.com/jobs/view/3591456591,Demand Generation Manager,Emi Labs
"8/8/23, 5:14 PM",http://www.linkedin.com/jobs/view/3681256007,"Editorial Content Lead, Content Marketing",Stripe
"11/1/24, 7:14 AM",http://www.linkedin.com/jobs/view/4063744299,Director of Content Management,GrowthMate AI
"6/16/23, 11:41 AM",http://www.linkedin.com/jobs/view/3632984567,Marketing Content Manager,LightBox
"7/20/15, 7:35 AM",http://www.linkedin.com/jobs/view/62977630,Senior Tech Writer,ADECCO
"11/29/24, 6:15 AM",http://www.linkedin.com/jobs/view/4079593339,,
"8/25/24, 5:26 AM",http://www.linkedin.com/jobs/view/4006639686,Content Marketer,Tailscale
"6/11/23, 6:43 AM",http://www.linkedin.com/jobs/view/3626579321,Product Marketing Manager,Curtis Instruments
"5/20/23, 3:56 PM",http://www.linkedin.com/jobs/view/3582037490,Director of Content,Swoogo
"9/11/24, 5:34 AM",http://www.linkedin.com/jobs/view/4016193030,Growth Marketing Director (Remote position),Sandvik
"5/30/23, 5:30 AM",http://www.linkedin.com/jobs/view/3616195564,Digital Content Designer/Strategist (End-to-End CX),The Cigna Group
