Challenge Date,IP Address,User Agent,Country,Challenge Type
Tue Mar 04 16:48:25 UTC 2025,75.76.242.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Sun Apr 20 22:30:24 UTC 2025,45.180.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Sun Apr 20 22:30:24 UTC 2025,45.180.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Wed Apr 23 07:17:53 UTC 2025,45.229.152.163,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Wed Apr 23 07:17:53 UTC 2025,45.229.152.163,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
