Event Name,Event Time,Status,External Url
High-impact Apps for Universities,"Jun 11, 2025 04:00 PM - Jun 11, 2025 04:30 PM",APPROVED,https://www.appsmith.com/event/low-code-apps-for-universities-webinar#form-section-higher-education-webinar
The Last Mile: Personalizing AI Experiences to Fit Your Business,"Jun 18, 2025 05:00 PM - Jun 18, 2025 05:30 PM",APPROVED,https://www.appsmith.com/event/ai-agents-for-enterprises-webinar?utm_source=ob
Appsmith Forge: Spring 2025 Launch Week,"Jun 02, 2025 01:00 PM - Jun 06, 2025 09:00 PM",APPROVED,https://www.appsmith.com/event/appsmith-forge-spring-2025-launch
Build Personalized AI Experiences to Fit Your Business with Speed & Agility,"Jun 18, 2025 05:00 PM - Jun 18, 2025 05:30 PM",APPROVED,https://www.appsmith.com/event/ai-agents-for-enterprises-webinar?utm_source=ob
