Ad clicked Date,Ad Title/Id
2025/01/16 21:00:35 UTC,312048016
2024/03/06 14:02:58 UTC,350933644
2025/01/24 16:36:02 UTC,509848236
2024/03/11 21:12:32 UTC,350228664
2025/02/05 16:29:32 UTC,506808586
2024/03/15 16:12:56 UTC,145111864
2025/02/05 16:30:27 UTC,506808586
2024/03/27 13:45:23 UTC,244898126
2025/02/05 16:30:29 UTC,506808586
2024/03/29 15:45:04 UTC,145111864
2025/02/05 17:24:40 UTC,506808586
2024/04/03 17:59:15 UTC,145111864
2025/02/05 16:29:06 UTC,506808586
2024/04/10 15:02:01 UTC,214736064
2025/02/05 16:29:07 UTC,506808586
2024/04/15 18:10:56 UTC,403212996
2025/02/05 16:29:34 UTC,506808586
2024/04/15 13:31:14 UTC,406010856
2025/02/18 15:51:16 UTC,627371016
2024/04/15 13:05:22 UTC,406010856
2025/02/18 15:58:20 UTC,627371016
2024/04/12 17:36:13 UTC,314925723
2025/02/18 15:51:15 UTC,627371016
2024/04/30 14:30:11 UTC,270821874
2025/02/18 15:58:21 UTC,627371016
2024/05/02 15:29:47 UTC,350354434
2025/02/18 15:58:23 UTC,627371016
2024/05/06 19:35:40 UTC,431385066
2025/02/28 18:07:59 UTC,571431973
2024/05/06 19:35:57 UTC,431385066
2025/03/07 16:38:52 UTC,145111864
2024/05/06 19:38:22 UTC,413265176
2025/03/10 15:51:47 UTC,486510226
2024/05/06 19:38:39 UTC,413265176
2025/03/13 20:01:16 UTC,601568764
2024/05/06 17:39:36 UTC,201714634
2025/03/19 00:00:06 UTC,598413884
2024/05/13 15:01:30 UTC,145111864
2025/04/03 16:39:21 UTC,664537576
2024/05/15 16:00:27 UTC,405314936
2025/04/11 17:45:28 UTC,651133686
2024/05/16 20:33:08 UTC,145111864
2025/04/24 19:15:00 UTC,550207493
2024/05/18 13:40:07 UTC,145111864
2025/04/30 13:20:50 UTC,670360076
2024/05/22 00:15:14 UTC,214736054
2025/05/09 17:24:02 UTC,671670143
2024/05/22 20:11:51 UTC,408897304
2025/04/21 13:21:21 UTC,598348614
2024/05/28 20:59:49 UTC,325593356
2025/05/19 20:59:12 UTC,145111864
2024/05/29 15:17:59 UTC,244898126
2025/05/16 20:48:08 UTC,431464706
2024/06/02 22:27:47 UTC,145111864
2025/05/23 21:53:13 UTC,598366644
2024/06/05 15:14:46 UTC,423339743
2025/06/02 12:37:59 UTC,589729374
2024/06/05 15:15:37 UTC,423339743
2025/06/02 00:43:50 UTC,672915904
2024/06/18 16:21:53 UTC,394297254
2025/06/05 12:36:12 UTC,311999536
2024/06/18 16:24:21 UTC,394297254
2025/06/06 18:56:27 UTC,145111864
2024/06/20 19:03:46 UTC,145111864
2025/06/09 13:54:18 UTC,718734826
2024/06/25 18:32:10 UTC,425845293
2025/06/12 10:59:22 UTC,627473976
2024/06/25 18:32:11 UTC,425845293
2025/06/16 15:36:56 UTC,493236926
2024/06/25 18:32:11 UTC,425845293
2025/06/16 15:36:57 UTC,493236926
2024/06/25 17:07:54 UTC,425845293
2025/06/16 15:36:58 UTC,493236926
2024/06/28 17:32:01 UTC,372964786
2025/06/16 15:36:58 UTC,493236926
2024/06/28 17:32:15 UTC,372964786
2025/06/16 15:40:32 UTC,493236926
2024/06/28 17:32:15 UTC,372964786
2025/06/23 18:30:58 UTC,694544424
2024/07/02 17:37:54 UTC,372964786
2025/06/20 18:20:18 UTC,145111864
2024/07/02 17:37:54 UTC,372964786
2025/06/30 21:10:59 UTC,713963313
2024/07/02 14:30:19 UTC,434722606
2025/06/30 21:11:00 UTC,713963313
2024/07/02 14:30:29 UTC,470408086
2025/06/30 21:17:49 UTC,713963313
2024/07/02 17:36:56 UTC,427941344
2025/06/30 21:17:50 UTC,713963313
2024/07/02 17:37:49 UTC,427941344
2025/06/30 20:37:08 UTC,713963313
2024/07/05 18:27:53 UTC,145111864
2025/06/30 19:43:59 UTC,713963313
2024/07/10 14:18:30 UTC,475549266
2025/06/30 19:43:59 UTC,713963313
2024/07/22 13:44:37 UTC,244898126
2025/06/30 19:44:00 UTC,713963313
2024/07/24 12:56:28 UTC,145111864
2025/06/30 19:44:00 UTC,713963313
2024/07/27 13:52:12 UTC,482065086
2025/06/30 19:44:00 UTC,713963313
2024/07/26 13:53:56 UTC,145111864
2025/06/30 19:56:12 UTC,713963313
2024/07/26 08:52:32 UTC,427288184
2025/06/30 19:43:59 UTC,713963313
2024/08/01 02:31:53 UTC,397369136
2025/06/30 19:44:00 UTC,713963313
2024/08/01 19:33:14 UTC,145111864
2025/06/30 19:44:00 UTC,713963313
2024/08/02 14:50:15 UTC,470577566
2025/06/30 19:56:13 UTC,713963313
2024/08/04 11:22:01 UTC,470603796
2025/07/02 17:51:50 UTC,713963313
2024/08/04 11:22:04 UTC,470603796
2025/07/02 17:51:52 UTC,713963313
2024/08/04 11:24:04 UTC,439346886
2025/06/30 20:37:08 UTC,713963313
2024/08/05 15:08:42 UTC,439794356
2025/07/08 16:35:24 UTC,719408783
2024/08/05 13:43:51 UTC,439813636
2025/07/08 16:35:24 UTC,719408783
2024/08/03 22:58:27 UTC,473984096
2025/07/08 16:35:25 UTC,719408783
2024/08/03 00:36:24 UTC,145111864
2025/07/08 16:35:25 UTC,719408783
2024/08/08 14:07:52 UTC,145111864
2025/07/08 16:35:25 UTC,719408783
2024/08/07 00:42:42 UTC,145111864
2025/07/08 17:29:24 UTC,719408783
2024/08/07 00:43:42 UTC,145111864
2025/07/08 17:29:23 UTC,719408783
2024/08/07 22:56:35 UTC,454727753
2025/07/08 16:35:23 UTC,719408783
2024/08/06 14:35:01 UTC,461012386
2025/07/08 16:35:25 UTC,719408783
2024/08/09 21:15:35 UTC,428145364
2025/07/08 16:35:25 UTC,719408783
2024/08/12 12:52:43 UTC,430094753
2025/07/08 16:35:25 UTC,719408783
2024/08/12 18:39:12 UTC,145111864
2025/07/08 16:35:26 UTC,719408783
2024/08/12 22:07:50 UTC,440347723
2025/07/08 17:55:58 UTC,719408783
2024/08/15 01:46:14 UTC,145111864
2025/07/08 17:55:59 UTC,719408783
2024/08/16 10:33:06 UTC,145111864
2025/07/15 14:33:05 UTC,312028496
2024/08/16 19:45:11 UTC,145111864
2025/07/15 03:30:58 UTC,569594464
2024/08/15 10:37:15 UTC,408317904
2025/07/15 03:23:20 UTC,723551586
2024/08/17 01:06:12 UTC,405294386
2025/07/15 03:25:49 UTC,732641796
2024/08/19 23:10:43 UTC,456771986
2025/07/18 17:26:48 UTC,707584566
2024/08/19 23:16:01 UTC,497927506
2025/07/23 15:32:26 UTC,145111864
2024/08/18 00:46:23 UTC,472743933
2025/07/25 19:39:21 UTC,493236926
2024/08/20 13:03:30 UTC,145111864
2025/07/25 19:39:21 UTC,493236926
2024/08/20 13:05:07 UTC,145111864
2025/07/25 19:39:23 UTC,493236926
2024/08/20 13:05:16 UTC,145111864
2025/07/25 19:39:23 UTC,493236926
2024/08/20 18:11:44 UTC,145111864
2025/07/25 19:39:21 UTC,493236926
2024/08/20 18:11:58 UTC,145111864
2025/07/25 19:39:23 UTC,493236926
2024/08/22 00:40:22 UTC,462370424
2025/08/01 15:23:49 UTC,493236926
2024/08/22 23:38:56 UTC,430094753
2025/08/01 22:46:09 UTC,757258726
2024/08/23 13:18:24 UTC,482227516
2025/08/01 22:46:10 UTC,757258726
2024/08/23 13:18:33 UTC,482227516
2025/08/01 22:46:12 UTC,757258726
2024/08/24 16:23:55 UTC,461446706
2025/08/01 22:46:12 UTC,757258726
2024/08/24 16:25:18 UTC,240142133
2025/08/01 17:58:29 UTC,145111864
2024/08/25 12:24:19 UTC,145111864
2025/08/01 15:23:27 UTC,493236926
2024/08/25 12:26:29 UTC,145111864
2025/08/01 15:23:29 UTC,493236926
2024/08/26 00:08:09 UTC,438116973
2025/08/01 15:23:49 UTC,493236926
2024/08/25 23:10:11 UTC,145111864
2025/08/06 16:35:26 UTC,757258726
2024/08/23 18:52:37 UTC,145111864
2025/08/06 17:58:50 UTC,757258726
2024/08/26 17:24:42 UTC,145111864
2025/08/07 17:06:39 UTC,757258726
2024/08/27 23:15:20 UTC,440347723
2025/08/07 17:06:39 UTC,757258726
2024/08/27 23:16:38 UTC,440347723
2025/08/07 13:55:48 UTC,145111864
2024/08/27 23:16:40 UTC,440347723
2025/08/06 17:58:51 UTC,757258726
2024/08/30 12:51:24 UTC,145111864
2025/08/09 13:32:15 UTC,694553884
2024/08/31 01:12:58 UTC,485217383
2025/08/06 16:35:27 UTC,757258726
2024/09/01 00:52:51 UTC,145111864
2025/08/06 15:09:05 UTC,757258726
2024/09/01 00:54:45 UTC,145111864
2025/08/06 15:09:06 UTC,757258726
2024/09/01 11:42:24 UTC,145111864
2025/08/18 13:00:25 UTC,757310776
2024/09/01 11:50:07 UTC,471241494
2025/08/18 13:00:25 UTC,757310776
2024/09/02 22:16:57 UTC,145111864
2025/08/18 13:00:26 UTC,757310776
2024/09/03 19:24:34 UTC,469785893
2025/08/18 13:00:23 UTC,757310776
2024/09/03 19:26:38 UTC,470603796
2025/08/25 15:45:43 UTC,831091106
2024/09/03 19:26:42 UTC,470603796
2025/08/28 19:49:53 UTC,515184654
2024/09/02 01:08:05 UTC,457666194
2025/08/25 15:23:29 UTC,831091106
2024/09/02 01:08:08 UTC,457666194
2025/08/25 15:23:30 UTC,831091106
2024/09/03 14:47:45 UTC,145111864
2025/09/02 17:55:50 UTC,825093016
2024/09/04 13:00:13 UTC,457666194
2025/09/10 14:07:44 UTC,861467196
2024/09/06 22:07:04 UTC,145111864
2025/09/29 13:57:21 UTC,719103576
2024/09/06 22:07:17 UTC,145111864
2025/09/29 13:57:22 UTC,719103576
2024/09/05 23:55:43 UTC,145111864
2025/09/29 14:03:34 UTC,719103576
2024/09/05 23:56:25 UTC,145111864
2025/10/08 19:57:06 UTC,854610473
2024/09/09 12:28:03 UTC,448405694
2025/10/08 19:57:04 UTC,854610473
2024/09/09 12:28:03 UTC,448405694
2025/10/13 14:23:58 UTC,750804294
2024/09/13 20:34:23 UTC,448405694
2025/10/18 11:25:41 UTC,872739216
2024/09/13 20:34:40 UTC,448405694
2025/10/27 13:38:28 UTC,694544444
2024/09/13 20:34:48 UTC,448405694
2025/11/16 07:04:57 UTC,955221236
2024/09/16 13:21:24 UTC,399141744
2025/11/25 16:36:16 UTC,750863044
2024/09/20 16:01:30 UTC,145111864
2025/11/28 20:53:22 UTC,913370194
2024/09/20 11:51:37 UTC,340899883
2025/12/08 13:24:29 UTC,660945644
2024/09/19 21:29:17 UTC,145111864
2025/12/17 13:41:36 UTC,854591193
2024/09/27 21:37:01 UTC,400504546
2025/12/17 13:41:36 UTC,854591193
2024/09/27 21:37:01 UTC,400504546
2025/12/17 13:46:02 UTC,854591193
2024/09/27 21:33:31 UTC,400504546
2025/12/26 18:23:29 UTC,1077989624
2024/09/27 21:33:31 UTC,400504546
2025/12/26 18:23:29 UTC,1077989624
2024/09/27 21:33:31 UTC,400504546
2026/01/08 13:55:47 UTC,901291833
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:30:07 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:26:42 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:26:51 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:28:39 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:28:40 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:30:06 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
2026/01/13 18:26:42 UTC,1002097466
2024/09/27 21:33:31 UTC,400504546
